,UserID,Balance,CurrentSkin,RoomID,Pass
358,1c455f53,-500,2,,"\vD;~{,+Qy"
359,1c511a3b,-500,1,,",>2""ioT|9oK2Tx"
360,1c5a2046,-500,2,,NT^&FOCH]`(}j
361,1c718d2a,-500,2,,B28b^2t^$
362,1c719a41,-500,1,,"xE\QW""wO>Vysv^"
363,1c73ec70,1000,4,,]mSm)u}_<
364,1c97b866,-1000,1,,!lvs1|ylc:
365,1cdd30e4,-500,1,,5xzwoCrI>JKh8
366,1ce16dcd,-300,4,,"1Yq04""bcTs"
367,1cf7b48b,490,1,,"""VtkV>,rx0sa?"
368,1cf898f2,1000,1,,xp4jIUfr~e
369,1cfd6787,1000,1,,Xg'W+sEl7\`+y
370,1d0bf15b,80,1,,\pAh5.D1LQvj
371,1d0e0220,540,1,,VN%HQ(Rp|<m93\
372,1d18aa13,1000,1,,bJQ=C[DB)q
373,1d289153,-500,1,,r.~'Dzv!Z
374,1d2b60a8,975,4,,\0&kygh!$'G
375,1d44bfb9,-1000,2,,M*]TX+WBjHV
376,1d59dc40,-500,2,,Yh:-Y*~8$ZYr
377,1d63fc6a,0,1,,jzx8T)h'6ya9L$
378,1d97d8d0,-500,2,,"=(S?<""p8/U<G"
379,1d9cff62,215,1,,G3S*(>+%L
380,1db57251,90,2,,=RgMWL>.<2CK
381,1dd2c46a,60,3,,/h8_4$U5[^l&K
382,1dfc423a,-1010,1,,ufVo/#7(}u
383,1e387ea5,-500,1,,>ASK;]-~[d0m/
384,1e439b31,55,1,,Elsm%'y'TyB
385,1e52b293,-500,1,,!AS-Z(/'
386,1e5329eb,1000,4,,"nMr^Y{,{*"
387,1e732c9e,950,1,,8cOD'-y$
388,1eaccb8d,290,2,,l7UvPwr4X2]
389,1ed1570d,-500,1,,+:wile>L
390,1ee1eb98,1000,2,,"J0!^[KO],76"
391,1ee680bc,750,1,,"fK0k!`n"""
392,1f003009,-500,1,,oJ97x]Y#dy
393,1f0661d1,145,1,,62\*Tt7aN&
394,1f0caf59,-500,1,,7Lgapl>>vK
395,1f10840b,940,1,,C$6s!(V}'qR
396,1f22dc57,-500,1,,"MeJEt=eL""$@"
397,1f279a96,-215,3,,-ALUj$LQ
398,1f39bf0a,-500,1,,"TJ~}[)q""q>3"
399,1f460e70,1000,4,,t@jh8*H%Y
400,1f51d7df,1000,1,,ao][)qRv$J
401,1f6167ae,-500,1,,*q\9-ys[<
402,1f7c28f5,600,1,,mq_Jk$C]0sHf]0
403,1fa73f53,-500,1,,5)W?;S|q
404,1fd00c10,-500,1,,JjXN*6&FOVl1^(
405,1fd71292,-500,1,,&B5EvjvcT
406,1ff2129e,-500,1,,s'01_DI&roO89=
407,204e9eb3,-192,2,,"W`>5]""1-"
408,20792c2c,1000,1,,IjzW\CIv0
409,207a13d1,300,1,,Q<R$s}_~XR
410,207e7dee,-500,3,,",2eB>#<b#y!uy"
411,20c890fc,500,4,,U95c;i4{
412,20ea3238,-500,1,,[ohE$%a'=+7GC
413,20efe2ee,1000,2,,K&EpK_De1X
414,20f69cb4,520,1,,PzPCwe;11$lnf$
415,21087416,-60,1,,a&}:Fxc.zn
416,21092d9d,-500,2,,Q[5.Yk$Oe!0lv
417,21192339,-500,1,,upF@Wq!@Xt
418,21252c28,1000,1,,(ic>zxwE
419,2141bfc9,-1000,1,,>d&{i2i$cQj
420,214548eb,-500,1,,Dhf+w/c)
421,21613f48,-500,1,,"NY""u]{YO?[?uL*"
422,217ea67a,1000,1,,nG^@ESxK
423,2193fe06,1000,1,,mPd#*dBynf<tX
424,219f602e,-245,1,,"{Z>-,ibBCmc"
425,2222d2d9,1000,1,,]=iVQ-\0[1/m<A
426,222e08f9,-500,1,,ZKK6c[9v8.
427,22492e47,1000,3,,AVQ`hQK(OSx6
428,224a2e58,-500,2,,Z*gBcL@92[WI
429,224c9255,-500,2,,e*#{${}gm*&%/
430,226fe86e,-570,1,,[pQ]$~\F
431,2274976e,410,1,,@[FXxVwYk+PI;
432,2284863c,1000,1,,}<TTj0uABgpU
433,22980321,-500,1,,mv?E('#IHjs
434,22bab189,1000,1,,hBEap<zMpC~>
435,22c5ab8c,775,1,,3oZog*oC
436,22da5b90,-500,2,,;oaUeSIO@>
437,22dc2886,-500,1,,`*l^;X_>Q
438,2308238d,-500,1,,xT(>ncv}
439,2312a530,98,1,,sp'bO9F}LBJ\g
440,23139933,-500,1,,&7MV;!3aBZrE
441,2323310c,1000,1,,;/}+S&!<
442,2329c445,1000,4,,h9`wcna/aB<4
443,232b9120,-500,1,,K~_K.D$\6tX4i
444,23515a0e,-500,1,,"f,b""&z2g>\e'+Y"
445,235eeed9,-1000,1,,J<n)b7PM
446,23730f24,-500,1,,NMjD!sas($X
447,237998d6,-500,1,,(5r{%tBX:z
448,2385ba7c,-500,4,,<!Z5qOkCjZw
449,239c0da8,1000,3,,|x?H]H6fu{
450,239d35de,1000,1,,"+e]_aoOvSJo/0,"
451,23bf40a2,-500,1,,"3;3b@g`+,"
452,23f68a64,-500,1,,"uJ&,[=lqO.Q?"
453,23fd7ecf,-500,1,,II}gT!M]mH!%
454,23fd8fbb,660,1,,O.^sp<pZS8'O'&
455,23ff45a4,1000,1,,"eiJd4>lkkl|,:"
456,241345c3,-500,1,,{>gmxVlp+<9tC5
457,2413c9fc,-500,1,,xMh+exrg
458,2419cab6,1000,1,,TTvZZVLwENg
459,245f9146,-500,1,,2F{;*|#Gu@aGY1
460,247e112d,-500,1,,V56?h}z)w_m[Pm
461,24866475,425,1,,zSqO^Lq/
462,248b26f0,-300,1,,"l,=fX@7F"
463,249811a9,-1470,1,,vF7}~(9TMOPm|
464,24acde18,-500,1,,s\phZn=tKs
465,24e52e8c,-500,1,,#IIhn57+pEg>M
466,24e73e79,-500,1,,?=ik!N'.G
467,24f29382,-20,2,,*[$`?Ud!
468,24f9d263,-500,3,,xrvg7.=o=tP
469,252489e1,-500,1,,"h""QQ{jHkb"
470,2544aa36,-500,1,,E~-Mg7m\
471,2547c7fd,1000,1,,w@NOGd'`
472,255e3e32,-245,1,,}RJz*sm*A
473,256586fa,1500,1,,5RHdDMM=]rw
474,25772a68,-500,1,,s*QJxu`g
475,258868a8,1000,1,,&:.rKUcAk
476,25ac318a,300,1,,T2c)40R1t
477,25adbdbc,2110,1,,"BR6Uj,YDF"
478,25b71411,-500,1,,kb*L`8$#FlB8c
479,25c3dab8,165,1,,P-7k{S|9]]>}
480,25c44030,1000,4,,yI:X<R.j%V'~0
481,25c6b2d9,285,1,,+?yI_%)ELDZe
482,25c7e150,130,1,,g}Rj60|qy1&C
483,25cbb228,1170,1,,zv#+@aJV;phSPa
484,25cd4fdb,-500,1,,8!]x'(U|k
485,25ebd856,-480,1,,z6!m?qkRlat@g
486,26077fad,-500,4,,@}d@8*_Hu
487,2609221c,-500,1,,vl>)x42Tqu=
488,2618f0d3,-500,2,,"""9rPxq@&j"
489,2623dce5,-10,4,,x?jWWB%9
490,2640f65f,470,1,,Z!;`eL2aSN
491,265379cc,-500,1,,AI}I&{N/
492,2663ef96,-500,1,,!=T]Fo94
493,267ff7a1,66,1,,"F""={il&1*L}"
494,26852816,-500,1,,o-*{+sSED_y#+
495,2691d2c8,420,1,,L[+VmRYw.STP1?
496,26a03974,-20,1,,wuxTr*h(c[Q2CH
497,26ad2aa8,-500,1,,+'jJ#bA+
498,270c303d,-500,4,,JR`+3gnUeU
499,270c3bd8,560,1,,\2e1l4dBFci'
500,272b8e83,-500,1,,CnV3?bz3
501,273d69e4,805,1,,ow^V}mC-nZRf
502,27450ef5,1000,1,,(kGj$TrY\Y<<nK
503,274ba8d3,-500,1,,!tsbwpoEx[5E
504,27672e70,1000,3,,"^`6aL""DpHsmK"
505,27685e4b,-500,1,,O19x~Ub=fOY^H
506,2778c755,318,1,,`!m&XiA=yA>)
507,278285ca,710,1,,QwO(?[B!#i6_
508,279673fa,-500,1,,_2XP5wl_H
509,27c6667e,-500,1,,".E?4oP+Q6I~"")%"
510,27e237e8,-500,4,,vx:eOrc7]
511,27f63941,512,1,,",1l59aw`"
512,28112214,-500,1,,p:!z<4nt+f|7FZ
513,28139e3f,-500,1,,kLz?wGebSx0G-
514,28494c23,-500,2,,"I=iNri'Jc7[h%,"
515,2871431a,510,1,,3<#v~_ibv
516,28899348,500,2,,&ep|kYr7thdn=?
517,289b0469,420,3,,v??0HUsh^j
518,289f0848,-500,3,,@pyocgd4U_5
519,28bb7768,-500,4,,(t[pHLz7
520,28c20bef,-80,1,,eBkYd?`]7-
521,28f70659,1000,1,,G5|*%U?@oUw
522,29201c48,-500,1,,"3o""~{i#Pja"
523,2924546f,-500,1,,^()\.TpMQfJb
524,29273da3,-500,2,,Q[cXBt9Yp[?z_
525,294b5fe7,-500,3,,$@N|1l8n'|)
526,294e7fa9,590,1,,<)k#C}_{-
527,2951c8bd,-500,1,,"9lMk,H"">$6"
528,295d2140,-500,1,,nMlZ4c_@yE^.3I
